,Artists,Songs,Position,Week
0,Olivia Rodrigo,Vampire,1.0,2023-07-15
1,Morgan Wallen,Last Night,2.0,2023-07-15
2,Luke Combs,Fast Car,3.0,2023-07-15
3,Rema &amp; Selena Gomez,Calm Down,4.0,2023-07-15
4,Miley Cyrus,Flowers,5.0,2023-07-15
5,Lil Durk Featuring J. Cole,All My Life,6.0,2023-07-15
6,Taylor Swift,Cruel Summer,7.0,2023-07-15
7,Gunna,Fukumean,8.0,2023-07-15
8,Taylor Swift Featuring Ice Spice,Karma,9.0,2023-07-15
9,Toosii,Favorite Song,10.0,2023-07-15
10,Lil Uzi Vert,Flooded The Face,11.0,2023-07-15
11,SZA,Kill Bill,12.0,2023-07-15
12,SZA,Snooze,13.0,2023-07-15
13,"Metro Boomin, The Weeknd &amp; 21 Savage",Creepin',14.0,2023-07-15
14,Eslabon Armado X Peso Pluma,Ella Baila Sola,15.0,2023-07-15
15,Miguel,Sure Thing,16.0,2023-07-15
16,Jelly Roll,Need A Favor,17.0,2023-07-15
17,Taylor Swift,Anti-Hero,18.0,2023-07-15
18,Zach Bryan,Something In The Orange,19.0,2023-07-15
19,Lil Uzi Vert Featuring Nicki Minaj,Endless Fashion,20.0,2023-07-15
20,Morgan Wallen,You Proof,21.0,2023-07-15
21,The Weeknd &amp; Ariana Grande,Die For You,22.0,2023-07-15
22,Morgan Wallen,Thinkin' Bout Me,23.0,2023-07-15
23,Fifty Fifty,Cupid,24.0,2023-07-15
24,Lil Uzi Vert,Suicide Doors,25.0,2023-07-15
25,Yng Lvcas x Peso Pluma,La Bebe,26.0,2023-07-15
26,Old Dominion,Memory Lane,27.0,2023-07-15
27,Jordan Davis,Next Thing You Know,28.0,2023-07-15
28,Dua Lipa,Dance The Night,29.0,2023-07-15
29,Bailey Zimmerman,Religiously,30.0,2023-07-15
30,Lil Uzi Vert Featuring Travis Scott,Aye,31.0,2023-07-15
31,Grupo Frontera X Bad Bunny,Un x100to,32.0,2023-07-15
32,Morgan Wallen,Thought You Should Know,33.0,2023-07-15
33,Ed Sheeran,Eyes Closed,34.0,2023-07-15
34,Nicki Minaj &amp; Ice Spice With Aqua,Barbie World,35.0,2023-07-15
35,David Guetta &amp; Bebe Rexha,I'm Good (Blue),36.0,2023-07-15
36,Tyler Hubbard,Dancin' In The Country,37.0,2023-07-15
37,Drake,Search &amp; Rescue,38.0,2023-07-15
38,Bad Bunny,Where She Goes,39.0,2023-07-15
39,Post Malone,Chemical,40.0,2023-07-15
40,Latto Featuring Cardi B,Put It On Da Floor Again,41.0,2023-07-15
41,Fuerza Regida,Sabor Fresa,42.0,2023-07-15
42,Peso Pluma &amp; Grupo Frontera,Tulum,43.0,2023-07-15
43,PinkPantheress &amp; Ice Spice,"Boy's A Liar, Pt. 2",44.0,2023-07-15
44,Kane Brown,Bury Me In Georgia,45.0,2023-07-15
45,Kaliii,Area Codes,46.0,2023-07-15
46,Luke Combs,Love You Anyway,47.0,2023-07-15
47,"Peso Pluma, Gabito Ballesteros &amp; Junior H",Lady Gaga,48.0,2023-07-15
48,Lil Uzi Vert,I Gotta,49.0,2023-07-15
49,Miley Cyrus,Party In The U.S.A.,50.0,2023-07-15
50,Lil Uzi Vert,Spin Again,51.0,2023-07-15
51,Lil Uzi Vert,Crush Em,52.0,2023-07-15
52,Lil Uzi Vert,X2,53.0,2023-07-15
53,Fuerza Regida,TQM,54.0,2023-07-15
54,Ice Spice &amp; Nicki Minaj,Princess Diana,55.0,2023-07-15
55,Young Thug Featuring Drake,Oh U Went,56.0,2023-07-15
56,Tainy &amp; Bad Bunny,Mojabi Ghost,57.0,2023-07-15
57,Lil Durk Featuring Morgan Wallen,Stand By Me,58.0,2023-07-15
58,Peso Pluma &amp; Junior H,Luna,59.0,2023-07-15
59,Lil Uzi Vert,Pluto To Mars,60.0,2023-07-15
60,Peso Pluma,Bye,61.0,2023-07-15
61,Bizarrap &amp; Peso Pluma,"Bzrp Music Sessions, Vol. 55",62.0,2023-07-15
62,Young Nudy Featuring 21 Savage,Peaches &amp; Eggplants,63.0,2023-07-15
63,Jon Pardi,Your Heart Or Mine,64.0,2023-07-15
64,Lil Uzi Vert,"Mama, I'm Sorry",65.0,2023-07-15
65,Doechii Featuring Kodak Black,What It Is (Block Boy),66.0,2023-07-15
66,Lil Uzi Vert,Amped,67.0,2023-07-15
67,Justin Moore &amp; Priscilla Block,"You, Me, &amp; Whiskey",68.0,2023-07-15
68,David Kushner,Daylight,69.0,2023-07-15
69,Lil Uzi Vert Featuring Don Toliver,Patience,70.0,2023-07-15
70,Lil Uzi Vert,Nakamura,71.0,2023-07-15
71,"David Guetta, Anne-Marie &amp; Coi Leray",Baby Don't Hurt Me,72.0,2023-07-15
72,Karol G x Shakira,TQG,73.0,2023-07-15
73,"The Weeknd, Playboi Carti &amp; Madonna",Popular,74.0,2023-07-15
74,Post Malone,Mourning,75.0,2023-07-15
75,Lil Uzi Vert,All Alone,76.0,2023-07-15
76,Peso Pluma,Rubicon,77.0,2023-07-15
77,Lil Uzi Vert,Died And Came Back,78.0,2023-07-15
78,Peso Pluma,Por Las Noches,79.0,2023-07-15
79,Doja Cat,Attention,80.0,2023-07-15
80,Lil Uzi Vert Featuring Bring Me The Horizon,Werewolf,81.0,2023-07-15
81,Junior H x Peso Pluma,El Azul,82.0,2023-07-15
82,Morgan Wallen,Everything I Love,83.0,2023-07-15
83,Morgan Wallen Featuring ERNEST,Cowgirls,84.0,2023-07-15
84,Jonas Brothers,Waffle House,85.0,2023-07-15
85,Sexyy Red &amp; Tay Keith &amp; Nicki Minaj,Pound Town 2,86.0,2023-07-15
86,Lainey Wilson,Watermelon Moonshine,87.0,2023-07-15
87,"Metro Boomin, Swae Lee &amp; NAV Featuring A Boogie Wit da Hoodie",Calling,88.0,2023-07-15
88,Yahritza y Su Esencia x Grupo Frontera,Fragil,89.0,2023-07-15
89,"Tyler, The Creator Featuring Kali Uchis",See You Again,90.0,2023-07-15
90,HARDY,Truck Bed,91.0,2023-07-15
91,Lil Uzi Vert,Zoom,92.0,2023-07-15
92,Lil Uzi Vert,That Fiya,93.0,2023-07-15
93,Fall Out Boy,We Didn't Start The Fire,94.0,2023-07-15
94,Rod Wave,Fight The Feeling,95.0,2023-07-15
95,Morgan Wallen,Ain't That Some,96.0,2023-07-15
96,Peso Pluma &amp; Jasiel Nunez,Lagunas,97.0,2023-07-15
97,Noah Kahan,Dial Drunk,98.0,2023-07-15
98,Jelly Roll With Lainey Wilson,Save Me,99.0,2023-07-15
99,Miley Cyrus,Jaded,100.0,2023-07-15
100,Morgan Wallen,Last Night,1.0,2023-07-08
101,Luke Combs,Fast Car,2.0,2023-07-08
